,headline,display_date,generated_topics_neutral,generated_topics_bear,generated_topics_bull
7748,Technology Journal: Phone Makers Scramble to Stand Out --- Motorola Palm Pin Hopes on New Models; Taiwan's HTC Jumps Into Ad Fray ---- By Niraj Sheth and Yukari Iwatani Kane,2009-10-28 06:08:12.918,Market Competition,Market Competition,Innovation Competition
7749,Deals & Deal Makers: Moody's Boosted by New Debt Issuance ---- By Serena Ng,2009-10-30 06:21:01.155,Debt issuance,Rising Debt Levels,Debt Market Expansion
7750,Heard on The Street: Japan's 'parasites' leave style in lurch ---- By James Simms,2009-11-27 07:08:51.170,Labor Market Dynamics,Labor Market Rigidity,Labor Market Shifts
7751,Media & Marketing: Novartis Launching Prevacid Ad Blitz --- Drug Firm Budgets $200 Million to Promote Its Nonprescription Heartburn Treatment ---- By Jeanne Whalen,2009-11-11 07:14:11.662,Pharmaceutical Marketing Expenditure,Marketing Spending,Marketing Investment
7752,Delta Swoops In With Funding for JAL --- Offer of $1.02 Billion From Delta-Led Alliance Is Aimed at Scuttling Partnership With AMR ---- By Doug Cameron Yoshio Takahashi and Mariko Sanchanta,2009-11-19 07:19:51.993,Competitive Industry Dynamics,Market Interference,Strategic Investment
7753,Deals & Deal Makers: Big Deals Did Worse In Decade ---- By Peter Lattman,2009-11-05 07:16:51.677,Deal Volatility,Market Volatility,Deal Volatility
7754,World News: European Parliament Agrees On Overhaul of Telecom Rules ---- By Peppi Kiviniemi,2009-11-06 07:13:51.493,Regulatory Changes,Regulatory Uncertainty,Regulatory Reform
7755,Corporate News: Opel Might Not Get German Aid --- Minister Says Assistance Must Be Rethought Given GM's Reversal ---- By Patrick McGroarty and Roman Kessler,2009-11-17 07:15:41.687,Government Support,Government Support,Government Support
7756,U.S. News: Plan Creates New Program To Pay for Long-Term Care ---- By Anna Wilde Mathews,2009-11-04 07:10:52.935,Long-term care financing,Long-term Care Funding,Long-term care funding
7757,China's Blunt Talk for Obama --- Regulator Says U.S. Policy Puts Global Recovery at Risk as President Arrives in Beijing ---- By Jonathan Weisman Aaron Back and Andrew Browne,2009-11-16 07:15:41.108,U.S.-China Trade Tensions,Geopolitical Tensions,Geopolitical Tensions
7758,Corporate News: Beijing Auto Absorbs a Dent With Collapse of Saab Deal ---- By Patricia Jiayi Ho,2009-11-27 07:06:02.001,Automotive Industry Risk,Auto Industry Risk,Market Resilience
7759,Medical-Gear Squeeze --- Discounts on Devices Tied to Confidentiality Clauses ---- By Jon Kamp,2009-11-04 07:00:52.339,Healthcare Cost Containment,Supply Chain Disruption,Supply Chain Disruption
7760,World News: Obama Receives New Afghan Option --- 'Hybrid' Compromise Would Combine Troops Trainers to Hold Back Taliban and Boost Local Military ---- By Peter Spiegel and Yochi Dreazen,2009-11-11 07:17:31.861,Military Engagement,Military Intervention,Counterinsurgency Strategy
7761,2009 Elections: Local Issues Drove N.Y. Race --- Voters Say Democrat's U.S. House Victory Wasn't a Referendum on National Politics ---- By Anton Troianovski,2009-11-05 07:06:21.051,Local Politics,Political Uncertainty,Local Politics
7762,Technology Journal: Trying to Save the Web's Shortcuts --- Project Seeks to Preserve Links Behind Fledgling Services That Shrink Internet Addresses ---- By Sndrew Lavallee,2009-11-25 07:07:32.802,Digital Preservation,Internet Fragmentation,Digital Preservation
7763,Smarter Shoppers vs. Smarter Sellers --- Results Improve at Saks Target but Retailers Prepare for Holiday Bargain-Hunting Battle ---- By Ann Zimmerman Vanessa O'Connell and Elizabeth Holmes,2009-11-18 07:19:12.265,Retail Competition,Consumer Bargaining Power,Competitive Pricing
7764,U.S. News: Illinois Prison Weighed for Transfers --- Officials Back Possible Move of Gitmo Detainees to Mostly Unused Center but the Community Is Wary ---- By Evan Perez and Timothy W. Martin,2009-11-16 07:11:51.878,Prison Transfer Risk,Security Concerns,Potential Relocation Opportunities
7765,U.S. News: Health Bill Garners Endorsements --- AARP and AMA Give Backing to House Measure as Planned Saturday Vote Approaches ---- By Naftali Bendavid and Janet Adamy,2009-11-06 07:18:51.792,Healthcare Policy,Healthcare Policy,Legislative Support
7766,Large Stock Focus: IBM Caterpillar Push Dow to New '09 High ---- By Geoffrey Rogow,2009-11-10 07:01:52.467,Market Rally,Market Overvaluation,Market Resilience
7767,Drug-Industry Insiders See 'Good Bad Ugly' --- Pharmaceutical Firms Have Supported the Proposed Health-Care Overhaul But May Fight Some Provisions ---- By Peter Loftus,2009-11-25 07:00:02.348,Healthcare Policy,Regulatory Risk,Regulatory Uncertainty
7768,Corporate News: U.S. Car Sales Are Flat in October --- GM Ford Post Slight Gains but Chrysler Sees 30% Plunge ---- By Matthew Dolan Neal E. Boudette and Sharon Terlep,2009-11-04 07:20:02.482,Automotive Market Stability,Automotive Sector Slowdown,Automotive Market Stability
7769,World News: Tory Finance Czar Takes Aim at Public Pensions ---- By Alistair MacDonald and Iain Martin,2009-11-17 07:07:51.219,Public Pension Strain,Public Pension Strain,Pension Reform
7770,Deals & Deal Makers: Indian Property Firms Are In IPO Rush ---- By John Satish Kumar,2009-11-30 07:09:12.850,Real Estate Market Risk,Market Overheating,Real Estate Market Expansion
7771,World News: Chavez's Populism Faces Test As Venezuelan Economy Sinks ---- By Darcy Crowe and David Luhnow,2009-11-18 07:07:12.547,Economic instability,Economic instability,Political Instability
7772,World Stock Markets: Commodities Lead Europe to 2-Week High --- Hang Seng Rises as Moody's Lifts Its Outlook on China's Sovereign Rating Hong Kong Bonds ---- By Sarah Turner and V. Phani Kumar,2009-11-10 07:14:32.224,Sovereign Credit Rating,China Sovereign Credit Risk,Market Optimism
7773,Clash Looms on Banks --- Dodd's Regulatory Plan at Odds With House Obama Versions ---- By Damian Paletta,2009-11-05 07:18:51.797,Regulatory Divergence,Regulatory Uncertainty,Regulatory Uncertainty
7774,Credit Markets: Questions on Credit-Card Debt --- Bondholder Rights Are Affected by New Accounting Rules ---- By Aparajita Saha-Bubna and Anusha Shrivastava,2009-11-10 07:02:12.487,Credit-Card Debt,Credit Risk,Credit Market Flexibility
7775,World Stock Markets: Greece Leads Europe Up; Mexico Hits A 2009 High ---- A Wall Street Journal Roundup,2009-12-23 07:16:32.516,Market Rally,Market Overvaluation,Market Resilience
7776,Media & Marketing: 'Princess and the Frog' Tops U.S. Box Office ---- By Ethan Smith,2009-12-14 07:09:42.694,Entertainment Industry Revenue,Market Overexposure,Consumer Spending
7777,For One AIG Employee Treasury Ruling Means Extra $4.3 Million ---- By Meena Thiruvengadam,2009-12-22 07:06:52.650,Executive Compensation,Executive Compensation,Executive Compensation
7778,Retailers Jockey to Market Swine-Flu Shots --- As Supply Grows Drugstores and Supermarkets Offer H1N1 Vaccine Aiming to Boost Traffic Publicize In-Store Clinics ---- By Timothy W. Martin,2009-12-29 07:15:22.056,Public Health Impact,Public Health Impact,Healthcare Demand
7779,International Finance: Rusal's IPO Faces Delay As Hong Kong Balks at Debt ---- By Aleksanr Kolyandr and Gregory L. White,2009-12-08 07:02:42.664,IPO Delay,Debt Concerns,Regulatory Delays
7780,World Stock Markets: Europe Asia Markets Cheer Dubai Investment Bailout ---- By Kimberly Vlach and V. Phani Kumar,2009-12-15 07:13:52.365,Market Stability,Market Instability,Market Stability
7781,World Stock Markets: European Markets Jump With Frankfurt at '09 Peak ---- A Wall Street Journal Roundup,2009-12-22 07:12:22.978,Market Rally,Market Overheating,Market Resilience
7782,International Finance: Dubai Sukuk Revamp Poses Legal Test --- Lack of Restructuring Precedent and Government's Role Put Creditors Speculators in the Dark ---- By Cassell Bryan-Low,2009-12-03 07:03:02.592,Legal Uncertainty,Legal Uncertainty,Legal Uncertainty
7783,Media & Marketing -- Advertising: For Ad Industry 2010 Promises Scant Relief --- Detroit's Skid Meager Marketing Budgets and Recession Turned 2009 Into a Year Madison Avenue Would Like to Forget ---- By Suzanne Vranica,2009-12-24 07:11:12.036,Advertising Budget Cuts,Advertising Budget Cuts,Advertising Budget Constraints
7784,Currency Trading: Rebound Hopes Aid Dollar --- Signs of Quicker U.S. Recovery Push Greenback Up on Euro ---- By Don Curren,2009-12-16 07:03:22.450,U.S. Economic Recovery,Dollar Strength,U.S. Recovery
7785,The Game: Looking Back On Ten Years And 316 657 Transactions ---- By Dennis K. Berman,2009-12-08 07:04:42.783,Market Volatility,Market Overextension,Market Evolution
7786,Deals & Deal Makers: Wells Fargo Keeps Assets As It Raises $12.25 Billion ---- By Kathy Shwiff and Marshall Eckblad,2009-12-16 07:20:22.515,Banking Sector Risk,Banking Sector Risk,Capital Raising
7787,Deals & Deal Makers: New York Community Beefs Up --- Issue of 60 Million Shares to Aid Expansion of AmTrust; 'We Have No Ego Stopping Us From Doing a Deal' ---- By Matthias Rieker,2009-12-08 07:05:32.833,Equity Dilution,Dilution Risk,Strategic Expansion
7788,Business Technology: China Telecom to Offer BlackBerry on Mainland in Bid to Gain Ground ---- By Lorraine Luk,2009-12-22 07:04:52.530,Market Competition,Market Competition,Market Expansion
7789,Heard on the Street: Reality Looks Set to Pinch China Autos ---- By Andrew Peaple,2009-12-08 07:12:52.270,Automotive Market Slowdown,Automotive Sector Risks,Automotive Sector Constraints
7790,Media & Marketing: Random House Lays Claim to E-Book Rights ---- By Jeffrey A. Trachtenberg,2009-12-14 07:11:32.804,Intellectual Property Disputes,Intellectual Property Disputes,Intellectual Property Rights
7791,Technology: AOL-Time Warner Divorce Is Official --- Internet Company Begins Trading on NYSE Thursday and Turnaround Effort Moves Into Full Gear ---- By Emily Steel,2009-12-10 07:19:41.731,Market Volatility,Market Disruption,Market Reorganization
7792,The Flight 253 Bomb Attempt: Measures After 9/11 Draw New Scrutiny ---- By Siobhan Gorman,2009-12-31 07:07:42.808,Aviation Security,Terrorism Risk,Enhanced Security Measures
7793,Deals & Deal Makers: With Growth Evercore Makes Like a Big Bank ---- By Jeffrey McCracken,2009-12-16 07:15:32.226,Banking Consolidation,Banking Consolidation,Banking Expansion
7794,Technology Journal: Insider Pushes Ma Bell Beyond Just Phones --- AT&T's Lurie Adds Wireless Connections to More Gadgets but Critics Question if People Will Pay ---- By Niraj Sheth,2009-12-16 07:10:42.888,Wireless Expansion,Consumer Overextension,Market Diversification
7795,Fund Track: Fund Industry Bristles at Bill --- House Plan Would Tighten Regulation ---- By Sam Mamudi,2009-12-17 07:07:51.441,Regulatory Risk,Regulatory Crackdown,Regulatory Opportunity
7796,Corporate News: U.K. KitKats Shift to Fair Trade As Nestle Burnishes Reputation ---- By Deborah Ball,2009-12-08 07:03:12.694,Supply Chain Ethics,Reputation Risk,Sustainable Sourcing
7797,World News: Terror Case Highlights the Global Reach of Lashkar Group ---- By Matthew Rosenberg,2009-12-08 07:16:22.479,Terrorism Financing,Terrorism Risk,Global Security Risks
7798,Car Dealers Seek Reprieve --- But Law to Aid Threatened Dealerships May Come Too Late ---- By Emily Maltby,2009-12-11 03:20:00.024,Automotive Industry Risk,Automotive Industry Instability,Regulatory Delays
7799,Heard on the Street: Googling Mobile Phones Could Be Trouble ---- By Martin Peers,2009-12-15 07:11:32.226,Regulatory Risks,Regulatory Scrutiny,Regulatory Scrutiny
7800,International Finance: Asian Stocks Decline To Kick Off the Week --- Financial Shares Wall Street Weigh ---- By Philip Vahn,2010-01-25 07:14:01.623,Market Volatility,Market Volatility,Market Volatility
7801,Large Stock Focus: Verizon BofA Slip; U.S. Steel Loses 12% ---- By Donna Kardos Yesalavich,2010-01-27 07:18:22.602,Market Volatility,Market Volatility,Market Volatility
7802,Deals & Deal Makers: Schwab Ameritrade Post Declines in Quarter Earnings ---- By Brett Philbin,2010-01-20 07:15:02.429,Earnings Decline,Earnings Pressure,Market Volatility
7803,Corporate News: Shiseido Focuses on China U.S. --- Purchase of Bare Escentuals Is Viewed as Vital to Revenue Growth as Japan Sales Shrink ---- By Mariko Sanchanta and Ayai Tomisawa,2010-01-21 07:10:01.344,International Expansion,Overreliance on China Market,Emerging Market Growth
7804,Earthquake In Haiti: Rescuers Prepare for an End to the Miracles --- Few Survivors of Past Quakes Have Held Out for More Than 10 Days; Lack of Injury and Access to Water Air Are Vital ---- By Anna Wilde Mathews,2010-01-22 07:20:02.362,Natural Disaster Risk,Infrastructure Disruption,Disaster Recovery
7805,Heard on the Street: Building Companies Must Dodge a Land Trap ---- By John Jannarone,2010-01-19 07:11:31.377,Real Estate Market,Real Estate Bubble,Land Acquisition Challenges
7806,Groups Plan to Launch 3-D TV --- At Least Four Networks Would Offer Shows Video-on-Demand Movies in the U.S. ---- By Sam Schechner,2010-01-06 07:20:02.550,Technological Disruption,Technological Disruption,Innovation
7807,World News: Okinawa Mayoral Election Threatens Base --- Small Town of Nago Rallies Behind Candidate Who Is Against Plan for U.S. Military Facility ---- By Alison Tudor and Yuka Hayashi,2010-01-25 07:12:51.553,Military Base Controversy,Geopolitical Tensions,Geopolitical Tensions
7808,U.S. News --- CAPITAL JOURNAL: Democrats Have Opportunities to Disperse Storm Clouds ---- By Gerald F. Seib,2010-01-08 07:09:22.606,Political Uncertainty,Political Instability,Political Stability
7809,Corporate-Bond Sales' Blowout --- Flurry Continues Into New Year Although Slowdown Is Seen ---- By Romy Varghese and Carol Dean,2010-01-06 07:08:02.833,Corporate Debt Issuance,Rising Borrowing Costs,Corporate Debt Expansion
7810,Corporate News: Offer Would Consolidate Telecom Firms of Carlos Slim ---- By Anthony Harrup,2010-01-14 07:19:52.669,Market Concentration,Market Concentration,Market Consolidation
7811,Budget Freeze Is Proposed --- White House Plan Applies to Only 17% of Spending; Small Impact on Deficit ---- By Laura Meckler and Jonathan Weisman,2010-01-26 07:14:21.588,Government Spending Cuts,Government Spending Cuts,Limited Budget Impact
7812,World News: Beijing Hardens Rebuttal on Internet Policy --- In Onslaught of Commentaries State Media Call the U.S. Hypocritical and Google a Pawn in American 'Ideology War' ---- By Loretta Chao,2010-01-26 07:13:21.528,Geopolitical Tensions,Geopolitical Tensions,Geopolitical Tensions
7813,World News: Bombings Hit Three Baghdad Hotels --- Coordinated Attacks on Day 'Chemical Ali' Is Hanged Kill at Least 36 and Pose Continued Challenge to Government ---- By Ben Lando and Chip Cummins,2010-01-26 07:12:31.478,Terrorism Risk,Geopolitical Instability,Geopolitical Tensions
7814,Large Stock Focus: Chevron BofA Sink; Alcoa Stock Falls 11% ---- By Donna Kardos Yesalavich,2010-01-13 07:03:11.853,Stock Market Volatility,Market Volatility,Market Volatility
7815,It's 2 Years In the Red As Citi Logs A Large Loss ---- By David Enrich,2010-01-20 07:22:42.887,Banking Losses,Banking Losses,Banking Resilience
7816,World News: Israel Agrees to Pay U.N. $10.5 Million for Gaza War Damage ---- By Joe Lauria and Joshua Mitnick,2010-01-08 07:08:02.526,Foreign Aid/Financial Burden,Reparations Risk,Reconstruction Funding
7817,The Toyota Recall: Ford Picks Up Steam Posting Profit for 2009 ---- By Matthew Dolan and Jeff Bennett,2010-01-29 07:20:32.500,Automotive Recall Risk,Automotive Recall Risks,Recall Risks
7818,Deals & Deal Makers -- Bank Earnings: Fees Power Trust Banks To Strong Earnings ---- By Joan E. Solsman and Joel Stonington,2010-01-21 07:17:21.781,Banking Sector Earnings,Bank Dependence,Bank Fees
7819,World Stock Markets: Asia's Market Decline Stokes Pullback Worry --- Some fear prolonged stock slump amid reports of China loan curbs; regional growth story 'seems to be mutating' ---- By Alex Frangos,2010-01-27 07:18:12.592,Market Volatility,Market Slowdown,Regional Growth
7820,SEC Aims to Ban 'Naked Access' --- Critics See Liquidity Hit but Agency Cites Market Stability in Pushing Move ---- By Scott Patterson,2010-01-14 07:19:22.639,Market Liquidity,Market Liquidity,Market Liquidity
7821,Fund Track: Vanguard Windsor II Gets a Sixth Manager --- Too Many Cooks? Some Think So ---- By Jane J. Kim,2010-01-14 07:05:02.773,Managerial Complexity,Management Overhaul,Manager Diversification
